frame,timestamp,track_id,class_name,bev_x,bev_y,speed_mps,heading_deg,acc_mps2,risk_index
1,2026-07-23T16:33:01.019842,1,car,10.1432,13.3939,0.0,0.0,0.0,0.0
1,2026-07-23T16:33:01.019842,2,car,6.2852,4.2599,0.0,0.0,0.0,0.0
1,2026-07-23T16:33:01.019842,3,car,0.5547,8.0049,0.0,0.0,0.0,0.0
1,2026-07-23T16:33:01.019842,4,car,2.9557,4.2747,0.0,0.0,0.0,0.0
1,2026-07-23T16:33:01.019842,5,car,9.7356,3.536,0.0,0.0,0.0,0.0
1,2026-07-23T16:33:01.019842,6,car,19.7192,9.3579,0.0,0.0,0.0,0.0
1,2026-07-23T16:33:01.019842,7,car,7.8527,3.9701,0.0,0.0,0.0,0.0
1,2026-07-23T16:33:01.019842,8,car,22.4952,3.5239,0.0,0.0,0.0,0.0
1,2026-07-23T16:33:01.019842,9,car,18.9516,-0.4014,0.0,0.0,0.0,0.0
1,2026-07-23T16:33:01.019842,10,car,18.3526,13.3069,0.0,0.0,0.0,0.0
1,2026-07-23T16:33:01.019842,11,car,4.5758,4.0695,0.0,0.0,0.0,0.0
1,2026-07-23T16:33:01.019842,12,car,6.9762,0.1494,0.0,0.0,0.0,0.0
1,2026-07-23T16:33:01.019842,13,car,23.9254,9.6911,0.0,0.0,0.0,0.0
1,2026-07-23T16:33:01.019842,14,car,5.1871,-1.8385,0.0,0.0,0.0,0.0
1,2026-07-23T16:33:01.019842,15,car,9.4045,2.2255,0.0,0.0,0.0,0.0
1,2026-07-23T16:33:01.019842,16,car,18.1266,1.4626,0.0,0.0,0.0,0.0
1,2026-07-23T16:33:01.019842,17,car,4.6086,2.4637,0.0,0.0,0.0,0.0
1,2026-07-23T16:33:01.019842,18,car,17.2705,3.5427,0.0,0.0,0.0,0.0
1,2026-07-23T16:33:01.019842,19,car,7.5175,2.7085,0.0,0.0,0.0,0.0
1,2026-07-23T16:33:01.019842,20,car,14.6774,-2.3181,0.0,0.0,0.0,0.0
1,2026-07-23T16:33:01.019842,21,car,2.9168,-9.7438,0.0,0.0,0.0,0.0
1,2026-07-23T16:33:01.019842,22,car,19.2702,3.4537,0.0,0.0,0.0,0.0
1,2026-07-23T16:33:01.019842,23,car,3.6231,-4.357,0.0,0.0,0.0,0.0
1,2026-07-23T16:33:01.019842,24,car,26.0121,9.8486,0.0,0.0,0.0,0.0
